Epoch,Loss,Test_Accuracy
0,75.34442901611328,-10.095301628112793
1,74.10386657714844,-9.9054594039917
2,72.86293029785156,-9.715654373168945
3,71.62137603759766,-9.525689125061035
4,70.37844848632812,-9.335408210754395
5,69.13380432128906,-9.144835472106934
6,67.88630676269531,-8.953787803649902
7,66.6347885131836,-8.761967658996582
8,65.37786865234375,-8.569212913513184
9,64.1150131225586,-8.375521659851074
10,62.84425354003906,-8.180377960205078
11,61.56471633911133,-7.983699798583984
12,60.274696350097656,-7.785390853881836
13,58.973114013671875,-7.585409164428711
14,57.659420013427734,-7.383406639099121
15,56.33225631713867,-7.179221153259277
16,54.99025344848633,-6.972717761993408
17,53.63330078125,-6.763885021209717
18,52.26020812988281,-6.552768707275391
19,50.872066497802734,-6.339109897613525
20,49.468875885009766,-6.123138904571533
21,48.051273345947266,-5.904974937438965
22,46.6212158203125,-5.684962272644043
23,45.17926788330078,-5.463261604309082
24,43.7273063659668,-5.24021053314209
25,42.26754379272461,-5.016158103942871
26,40.80133819580078,-4.79149055480957
27,39.33203125,-4.566648006439209
28,37.8621711730957,-4.3421311378479
29,36.394168853759766,-4.118175506591797
30,34.93083953857422,-3.895798683166504
31,33.47562789916992,-3.675600051879883
32,32.03203582763672,-3.4579710960388184
33,30.603235244750977,-3.2433419227600098
34,29.192726135253906,-3.0320491790771484
35,27.804275512695312,-2.8245372772216797
36,26.441143035888672,-2.6214728355407715
37,25.10416030883789,-2.4233601093292236
38,23.795717239379883,-2.2303318977355957
39,22.518932342529297,-2.042759656906128
40,21.275514602661133,-1.8610115051269531
41,20.067337036132812,-1.6850619316101074
42,18.895252227783203,-1.5154144763946533
43,17.76079750061035,-1.35231351852417
44,16.664962768554688,-1.1956167221069336
45,15.606900215148926,-1.0450916290283203
46,14.588604927062988,-0.9008671045303345
47,13.61034870147705,-0.7626980543136597
48,12.670989990234375,-0.6308087110519409
49,11.770620346069336,-0.5052080154418945
50,10.909069061279297,-0.38595736026763916
51,10.087440490722656,-0.27289414405822754
52,9.306195259094238,-0.16646873950958252
53,8.565171241760254,-0.06649374961853027
54,7.8647541999816895,0.02734994888305664
55,7.20500373840332,0.11506128311157227
56,6.586991786956787,0.19634175300598145
57,6.010906219482422,0.27128422260284424
58,5.4768385887146,0.33983802795410156
59,4.985219478607178,0.4022442698478699
60,4.535195827484131,0.4587262272834778
61,4.125881195068359,0.509394645690918
62,3.755969762802124,0.5542479753494263
63,3.4255619049072266,0.5935950875282288
64,3.133023262023926,0.6277507543563843
65,2.876884698867798,0.6570290327072144
66,2.6549017429351807,0.6817583441734314
67,2.4648282527923584,0.7022885084152222
68,2.3041625022888184,0.7190442681312561
69,2.1701056957244873,0.7324572205543518
70,2.06015682220459,0.7428877353668213
71,1.971504807472229,0.7507922053337097
72,1.9013324975967407,0.7566101551055908
73,1.8469603061676025,0.7607312202453613
74,1.8055485486984253,0.7635222673416138
75,1.7744663953781128,0.7653460502624512
76,1.7513645887374878,0.7665051221847534
77,1.7340394258499146,0.7672618627548218
78,1.720473289489746,0.7678301334381104
79,1.7090409994125366,0.7684003114700317
80,1.698379635810852,0.7691373825073242
81,1.687455654144287,0.7701441645622253
82,1.675523281097412,0.7714848518371582
83,1.6620756387710571,0.7731848359107971
84,1.6468292474746704,0.775259792804718
85,1.6296314001083374,0.7777063846588135
86,1.6104826927185059,0.7804903388023376
87,1.5895990133285522,0.7835779190063477
88,1.5672110319137573,0.7869114875793457
89,1.5435413122177124,0.7904366254806519
90,1.518887996673584,0.7940901517868042
91,1.4935957193374634,0.7978234887123108
92,1.4680103063583374,0.8015936613082886
93,1.4423826932907104,0.8053531646728516
94,1.41697359085083,0.8090682625770569
95,1.3919792175292969,0.8127051591873169
96,1.367630124092102,0.8162403702735901
97,1.3441091775894165,0.8196560740470886
98,1.3214727640151978,0.8229392766952515
99,1.299790859222412,0.8260778188705444
100,1.279099941253662,0.8290737867355347
101,1.2594527006149292,0.831913948059082
102,1.2408534288406372,0.8345904350280762
103,1.2232836484909058,0.837120532989502
104,1.206583857536316,0.8395165205001831
