Epoch,Loss,Test_Accuracy
0,68.36029815673828,-9.114767074584961
1,67.42936706542969,-8.978049278259277
2,66.51690673828125,-8.84408950805664
3,65.6211929321289,-8.712658882141113
4,64.7410659790039,-8.583447456359863
5,63.874420166015625,-8.45606517791748
6,63.019466400146484,-8.330012321472168
7,62.17430114746094,-8.205020904541016
8,61.336551666259766,-8.080423355102539
9,60.501670837402344,-7.9554595947265625
10,59.665889739990234,-7.829751968383789
11,58.82551574707031,-7.702964782714844
12,57.978477478027344,-7.574743270874023
13,57.121463775634766,-7.444704055786133
14,56.251399993896484,-7.312231063842773
15,55.365760803222656,-7.177148818969727
16,54.4617919921875,-7.039030075073242
17,53.5369758605957,-6.8974223136901855
18,52.588951110839844,-6.752247333526611
19,51.613792419433594,-6.6030707359313965
20,50.609920501708984,-6.449458599090576
21,49.575984954833984,-6.291131973266602
22,48.50812911987305,-6.127594470977783
23,47.40436935424805,-5.9579691886901855
24,46.263458251953125,-5.781545162200928
25,45.08079147338867,-5.598787784576416
26,43.85602951049805,-5.409620761871338
27,42.58827209472656,-5.213696479797363
28,41.27387619018555,-5.01015043258667
29,39.911930084228516,-4.79945707321167
30,38.503910064697266,-4.583041667938232
31,37.0604248046875,-4.362372398376465
32,35.58778381347656,-4.13759708404541
33,34.0895881652832,-3.9093551635742188
34,32.56980514526367,-3.678356647491455
35,31.03179931640625,-3.445167064666748
36,29.48017120361328,-3.2105603218078613
37,27.920063018798828,-2.9754462242126465
38,26.357154846191406,-2.7407357692718506
39,24.79644012451172,-2.5072877407073975
40,23.244264602661133,-2.275975227355957
41,21.70720672607422,-2.047853946685791
42,20.191648483276367,-1.8238365650177002
43,18.703903198242188,-1.6048789024353027
44,17.250974655151367,-1.3919756412506104
45,15.839494705200195,-1.1861650943756104
46,14.476017951965332,-0.9883924722671509
47,13.16684341430664,-0.7995699644088745
48,11.9180269241333,-0.6205588579177856
49,10.735294342041016,-0.45215749740600586
50,9.623929023742676,-0.29508256912231445
51,8.588667869567871,-0.14995181560516357
52,7.633580207824707,-0.01726686954498291
53,6.7619476318359375,0.1026049256324768
54,5.976151943206787,0.20944690704345703
55,5.277555465698242,0.3032084107398987
56,4.666407585144043,0.38401687145233154
57,4.141757965087891,0.45218682289123535
58,3.701401710510254,0.5082228183746338
59,3.341856002807617,0.5528173446655273
60,3.058382272720337,0.5868401527404785
61,2.8450517654418945,0.6113204956054688
62,2.6948728561401367,0.6274206638336182
63,2.5999670028686523,0.6364017724990845
64,2.5518012046813965,0.6395813226699829
65,2.541473388671875,0.638289213180542
66,2.5600128173828125,0.6338191628456116
67,2.5987045764923096,0.6273822784423828
68,2.649402379989624,0.6200663447380066
69,2.7048041820526123,0.6128025054931641
70,2.7586731910705566,0.6063423156738281
71,2.8059921264648438,0.6012471318244934
72,2.8430380821228027,0.5978885889053345
73,2.8673694133758545,0.596459150314331
74,2.8777589797973633,0.5969934463500977
75,2.8740484714508057,0.5993936061859131
76,2.8569750785827637,0.603459358215332
77,2.827968120574951,0.6089186668395996
78,2.7889404296875,0.6154573559761047
79,2.7420883178710938,0.6227462291717529
80,2.6897127628326416,0.6304624080657959
81,2.634065628051758,0.6383083462715149
82,2.577228307723999,0.6460239291191101
83,2.521026372909546,0.6533952951431274
84,2.4669716358184814,0.6602579355239868
85,2.416236162185669,0.6664980053901672
86,2.369649887084961,0.6720491647720337
87,2.327716588973999,0.6768876314163208
88,2.2906477451324463,0.6810266971588135
89,2.258399486541748,0.6845088601112366
90,2.2307252883911133,0.68739914894104
91,2.2072231769561768,0.6897781491279602
92,2.187378168106079,0.6917352676391602
93,2.1706128120422363,0.6933623552322388
94,2.1563258171081543,0.694750189781189
95,2.1439194679260254,0.6959831714630127
96,2.1328330039978027,0.6971372365951538
97,2.122559070587158,0.6982777714729309
98,2.112657308578491,0.6994582414627075
99,2.1027629375457764,0.7007198333740234
100,2.092592239379883,0.7020916938781738
101,2.0819365978240967,0.7035925388336182
102,2.0706591606140137,0.7052299976348877
103,2.058692693710327,0.7070035934448242
104,2.0460240840911865,0.7089055776596069
105,2.032687187194824,0.7109225988388062
106,2.0187532901763916,0.713037371635437
107,2.0043179988861084,0.7152300477027893
108,1.9894959926605225,0.7174800634384155
109,1.9744043350219727,0.7197666168212891
110,1.9591646194458008,0.7220700979232788
111,1.9438889026641846,0.7243728637695312
112,1.928675889968872,0.7266595363616943
113,1.9136134386062622,0.72891765832901
114,1.898767113685608,0.7311374545097351
115,1.8841865062713623,0.7333124279975891
116,1.8699018955230713,0.7354384064674377
117,1.8559279441833496,0.7375141978263855
118,1.8422610759735107,0.7395402789115906
119,1.8288880586624146,0.7415192127227783
120,1.8157830238342285,0.7434542179107666
121,1.8029167652130127,0.7453501224517822
122,1.7902514934539795,0.7472118139266968
123,1.7777502536773682,0.7490444779396057
124,1.7653756141662598,0.7508528232574463
125,1.7530933618545532,0.7526414394378662
126,1.7408735752105713,0.7544139623641968
127,1.7286914587020874,0.7561740279197693
128,1.716525912284851,0.7579237222671509
129,1.7043641805648804,0.7596650123596191
130,1.6921974420547485,0.7613990306854248
131,1.6800216436386108,0.7631262540817261
132,1.6678390502929688,0.7648468017578125
133,1.6556541919708252,0.7665603756904602
134,1.6434738636016846,0.7682666778564453
135,1.6313055753707886,0.7699650526046753
136,1.619160771369934,0.7716548442840576
137,1.6070489883422852,0.7733354568481445
138,1.5949788093566895,0.7750068306922913
139,1.5829578638076782,0.7766684293746948
140,1.5709939002990723,0.7783201932907104
141,1.5590927600860596,0.7799624800682068
142,1.547256588935852,0.7815955281257629
143,1.535487413406372,0.783219575881958
144,1.5237877368927002,0.7848353981971741
145,1.512155294418335,0.7864434719085693
146,1.5005900859832764,0.7880445122718811
147,1.4890888929367065,0.7896393537521362
148,1.4776487350463867,0.791228175163269
149,1.4662686586380005,0.7928118109703064
150,1.4549449682235718,0.7943907976150513
151,1.4436742067337036,0.7959651350975037
152,1.4324564933776855,0.7975353598594666
153,1.4212881326675415,0.7991011738777161
154,1.4101698398590088,0.8006630539894104
155,1.3990983963012695,0.8022204637527466
156,1.3880761861801147,0.8037732839584351
157,1.377102255821228,0.8053213357925415
158,1.3661761283874512,0.8068642616271973
159,1.355299949645996,0.8084015250205994
160,1.3444746732711792,0.8099330067634583
161,1.3336997032165527,0.8114579319953918
162,1.3229780197143555,0.8129761815071106
163,1.3123098611831665,0.8144872784614563
164,1.301695704460144,0.8159909248352051
165,1.2911367416381836,0.8174867033958435
166,1.280633807182312,0.8189745545387268
167,1.2701865434646606,0.8204540014266968
168,1.2597957849502563,0.8219251036643982
169,1.2494620084762573,0.823387622833252
170,1.2391843795776367,0.8248412609100342
171,1.2289645671844482,0.8262861967086792
172,1.2188010215759277,0.8277221918106079
173,1.2086941003799438,0.8291492462158203
174,1.198643445968628,0.830567479133606
175,1.1886496543884277,0.8319765329360962
176,1.1787124872207642,0.8333768844604492
